"Service","Message","Created Date","Severity","User Name","Source"
"Google Drive","User logged out","2023-03-28T21:10:42","informational","Ahmed GCP","GW"
"Gmail","User logged out","2023-03-28T21:10:42","informational","Ahmed GCP","GW"
"Gmail","User logged out","2023-03-27T18:40:40","informational","Ahmed GCP","GW"
"Google Drive","User logged out","2023-03-27T18:40:40","informational","Ahmed GCP","GW"
"Gmail","[ALERT] ahmed@casbteamlabs.pcslabs.org attempted access to cloud apps using Platform: Windows, Version: 10.0 and Browser : Chrome and Version : 110.0 matching policy:""RH - Gmail block""","2023-03-23T18:43:12","high","Ahmed GCP","GW"
"Gmail","[ALERT] ahmed@casbteamlabs.pcslabs.org attempted access to cloud apps using Platform: Windows, Version: 10.0 and Browser : Chrome and Version : 110.0 matching policy:""RH - Gmail block""","2023-03-23T18:43:08","high","Ahmed GCP","GW"
"Gmail","[ALERT] ahmed@casbteamlabs.pcslabs.org attempted access to cloud apps using Platform: Windows, Version: 10.0 and Browser : Chrome and Version : 110.0 matching policy:""RH - Gmail block""","2023-03-23T18:42:51","high","Ahmed GCP","GW"
"Gmail","[ALERT] ahmed@casbteamlabs.pcslabs.org attempted access to cloud apps using Platform: Windows, Version: 10.0 and Browser : Chrome and Version : 110.0 matching policy:""RH - Gmail block""","2023-03-23T18:42:47","high","Ahmed GCP","GW"
"Gmail","[ALERT] ahmed@casbteamlabs.pcslabs.org attempted access to cloud apps using Platform: Windows, Version: 10.0 and Browser : Chrome and Version : 110.0 matching policy:""RH - Gmail block""","2023-03-23T18:42:46","high","Ahmed GCP","GW"
"Gmail","[ALERT] ahmed@casbteamlabs.pcslabs.org attempted access to cloud apps using Platform: Windows, Version: 10.0 and Browser : Chrome and Version : 110.0 matching policy:""RH - Gmail block""","2023-03-23T18:42:39","high","Ahmed GCP","GW"
"Gmail","[ALERT] ahmed@casbteamlabs.pcslabs.org attempted access to cloud apps using Platform: Windows, Version: 10.0 and Browser : Chrome and Version : 110.0 matching policy:""RH - Gmail block""","2023-03-23T18:42:38","high","Ahmed GCP","GW"
"Gmail","[ALERT] ahmed@casbteamlabs.pcslabs.org attempted access to cloud apps using Platform: Windows, Version: 10.0 and Browser : Chrome and Version : 110.0 matching policy:""RH - Gmail block""","2023-03-23T18:42:27","high","Ahmed GCP","GW"
"Gmail","[ALERT] ahmed@casbteamlabs.pcslabs.org attempted access to cloud apps using Platform: Windows, Version: 10.0 and Browser : Chrome and Version : 110.0 matching policy:""RH - Gmail block""","2023-03-23T18:42:17","high","Ahmed GCP","GW"
"Gmail","[ALERT] ahmed@casbteamlabs.pcslabs.org attempted access to cloud apps using Platform: Windows, Version: 10.0 and Browser : Chrome and Version : 110.0 matching policy:""RH - Gmail block""","2023-03-23T18:42:12","high","Ahmed GCP","GW"
"Gmail","[ALERT] ahmed@casbteamlabs.pcslabs.org attempted access to cloud apps using Platform: Windows, Version: 10.0 and Browser : Chrome and Version : 110.0 matching policy:""RH - Gmail block""","2023-03-23T18:42:01","high","Ahmed GCP","GW"
"Gmail","[ALERT] ahmed@casbteamlabs.pcslabs.org attempted access to cloud apps using Platform: Windows, Version: 10.0 and Browser : Chrome and Version : 110.0 matching policy:""RH - Gmail block""","2023-03-23T18:41:59","high","Ahmed GCP","GW"
"Gmail","[ALERT] ahmed@casbteamlabs.pcslabs.org attempted access to cloud apps using Platform: Windows, Version: 10.0 and Browser : Chrome and Version : 110.0 matching policy:""RH - Gmail block""","2023-03-23T18:41:59","high","Ahmed GCP","GW"
"Gmail","[ALERT] ahmed@casbteamlabs.pcslabs.org attempted access to cloud apps using Platform: Windows, Version: 10.0 and Browser : Chrome and Version : 110.0 matching policy:""RH - Gmail block""","2023-03-23T18:41:58","high","Ahmed GCP","GW"
"Gmail","[ALERT] ahmed@casbteamlabs.pcslabs.org attempted access to cloud apps using Platform: Windows, Version: 10.0 and Browser : Chrome and Version : 110.0 matching policy:""RH - Gmail block""","2023-03-23T18:41:58","high","Ahmed GCP","GW"
